reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Jones, P. D., New, M., Parker, D. E., Martin, S., & Rigor, I. G. (1999). Surface climate observations: A new dataset for climate analysis. Journal of Climate, 12(5), 1344–1362.",Climate change,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Allen, M. R., Frame, D. J., Huntingford, C., Jones, C. D., Lowe, J. A., Meinshausen, M., & Mehling, O. (2006). Quantifying anthropogenic influence on recent near‑surface temperature change. Geophysical Research Letters, 33(19), L19708.",Climate change,minimax_m25_230b_a10b,needs-human,,MATCH,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.933
"Howden, S. M., et al. (2007). Adapting agriculture to climate change. *Proceedings of the National Academy of Sciences*, *104*(50), 19691–19696.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Rosenzweig, C., & Tubiello, F. N. (2007). Adaptation and mitigation strategies in agriculture: An overview. *Mitigation and Adaptation Strategies for Global Change*, *12*(8), 1135–1145.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"Antle, J. M., & Capalbo, S. M. (2010). Adaptation of agricultural and food systems to climate change: An economic perspective. *American Journal of Agricultural Economics*, *92*(2), 356–368.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733,0.267
"Smit, B., & Skinner, M. (2002). Adaptation options in agriculture to climate change: A typology. *Mitigation and Adaptation Strategies for Global Change*, *7*(1), 85–114.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Reidsma, P., Ewert, F., & Lansink, A. O. (2015). Adapting to climate change: The use of climate change scenarios by farmers. *Agricultural Systems*, *139*, 1–10.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"IPCC. (2014). *Climate change 2014: Impacts, adaptation, and vulnerability. Part A: Global and sectoral aspects.* Contribution of Working Group II to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change. Cambridge University Press.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
Food and Agriculture Organization of the United Nations. (2016). *Climate change adaptation in agriculture: Challenges and opportunities.* FAO.,Climate change adaptation in agriculture,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,UNCONFIRMED,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,0.867
"World Bank. (2011). *Climate‑smart agriculture: A synthesis of the evidence.* Washington, DC: World Bank.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,unverified,,CONTAINS,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Alam, M. (2018). *Climate change adaptation strategies for rainfed agriculture in South Asia* (Doctoral dissertation). University of Queensland.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Kato, E., et al. (2019). Climate change adaptation in agriculture: Lessons from case studies in Africa. In *Proceedings of the 5th International Conference on Climate Change Adaptation* (pp. 45–52). Springer.",Climate change adaptation in agriculture,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Lipper, L., Thornton, P., Campbell, B. M., & Torquebiau, E. (2014). Climate‑smart agriculture for food security. Nature Climate Change, 4(12), 1068–1072.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,verified,,MATCH,CONTAINS,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867,0.133
"Harvey, C. A., Chabdz, L., & Kline, K. (2014). Climate‑smart agriculture: Smallholder adoption and implications for adaptation and mitigation. World Development, 64, S79–S90.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,needs-human,,CONTAINS,CONTAINS,CONTRADICTION,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Rosenstock, T. S., Lamanna, C., & Chesterman, S. (2016). The scientific basis of climate‑smart agriculture: A systematic review. Environmental Research Letters, 11(9), 094001.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,needs-human,,CONTAINS,CONTAINS,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300,0.700
"Mwongera, C., Shikuku, K. M., Okolo, W., & Kinyangi, J. (2017). Climate‑smart agriculture and smallholder farmers: A review. Food Security, 9(5), 1045–1061.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Thornton, P. K., & Herrero, M. (2015). Climate change, adaptation and smallholder agriculture: A framing paper. Agricultural Systems, 132, 123–132.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Asfaw, S., Daidone, S., Davis, B., & Dutilly, C. (2016). Climate‑smart agriculture and rural poverty: Evidence from east Africa. Journal of Rural Studies, 47, 73–85.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,needs-human,,CONTAINS,UNCONFIRMED,CONTRADICTION,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.933
"Vermeulen, S. J., Aggarwal, P. K., Ainslie, A., et al. (2018). Options for support to climate‑smart agriculture in Africa. Agricultural Systems, 162, 10–19.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Wreford, A., & Arnold, S. (2017). Climate‑smart agriculture: Progress and constraints in Europe. Journal of Agricultural Science, 155(7), 1109–1123.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Pan, Y., Zhang, X., & Liu, J. (2020). Climate‑smart agriculture in China: A review. Advances in Agronomy, 161, 101–138.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,needs-human,,CONTAINS,CONTAINS,UNCONFIRMED,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Sseguya, H., & Kimenyi, M. (2019). Climate‑smart agriculture adoption and productivity among smallholders: Evidence from Uganda. Journal of Development Studies, 55(8), 1705–1722.",Climate-smart agriculture for smallholder farmers,minimax_m25_230b_a10b,unverified,,CONTAINS,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Blais, A. (2006). What affects voter turnout? *Annual Review of Political Science*, *9*, 111‑125.",Democratic elections,minimax_m25_230b_a10b,verified,,MATCH,MATCH,CONTAINS,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.900,0.100
"Norris, P. (2014). Why electoral integrity matters. *Political Science Quarterly*, *129*(2), 231‑246.",Democratic elections,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.900,0.100
"Lijphart, A. (1997). Unequal participation: The democratic gap. *American Political Science Review*, *91*(2), 389‑406.",Democratic elections,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"Hicken, A., & Keefer, P. (2019). Electoral integrity and democratic governance: Evidence from a new dataset. *Journal of Democracy*, *30*(3), 122‑138.",Democratic elections,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTAINS,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Farrell, D. M., & McAllister, I. (2010). Voter turnout and the electoral cycle: A comparative perspective. *Electoral Studies*, *29*(2), 239‑249.",Democratic elections,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Birch, S. (2010). Electoral fraud and the politics of counting. *Political Research Quarterly*, *63*(4), 777‑792.",Democratic elections,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
International Institute for Democracy and Electoral Assistance. (2021). *Voter turnout in democratic elections: A global perspective* (Tech. Rep. No. 2021‑04). International Institute for Democracy and Electoral Assistance.,Democratic elections,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Reynolds, A. (2019). Electoral systems and democratic representation: Comparative evidence from sub‑Saharan Africa. In *Proceedings of the 2019 APSA Annual Meeting* (pp. 1‑15).",Democratic elections,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Herron, E. S. (2017). *Campaign finance and democratic elections: Evidence from the United States* [Doctoral dissertation, University of Michigan].",Democratic elections,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Norris, P., & Grömping, M. (2020). The politics of election administration: Lessons for democratic legitimacy. *Public Administration Review*, *80*(4), 591‑603.",Democratic elections,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTAINS,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Suri, T., & Jack, W. (2016). The impact of mobile money on financial inclusion in Kenya. Science, 351(6281), 143–146.",Digital financial services,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Demirgüç‑Kunt, A., & Klapper, L. F. (2012). Financial inclusion in Africa: An overview. African Development Bank.",Digital financial services,minimax_m25_230b_a10b,verified-with-error,,MATCH,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600,0.400
CGAP. (2017). Digital financial services: Global trends and market segmentation. Consultative Group to Assist the Poor.,Digital financial services,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,MATCH,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,0.767
"Aker, J. C., Boumnijel, R., McClure, A., & Zabre, H. (2016). Mobile money, food security, and resilience: Evidence from the Democratic Republic of Congo. World Development, 84, 69–79.",Digital financial services,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Jack, W., & Suri, T. (2014). Risk sharing and transaction costs: Evidence from Kenya's mobile money revolution. American Economic Review, 104(1), 183–223.",Digital financial services,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"Zetzsche, D. A., Arner, D. W., & Buckley, R. P. (2020). The rise of FinTech and the implications for financial regulation. Journal of Financial Regulation, 6(2), 179–211.",Digital financial services,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Lee, I., & Shin, Y. J. (2018). Fintech: Ecosystem, business models, investment decisions, and challenges. Business Horizons, 61(1), 35–46.",Digital financial services,minimax_m25_230b_a10b,verified,,MATCH,MATCH,CONTAINS,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.900,0.100
"Kshetri, N., & Voas, J. (2018). The impact of digital financial services on financial inclusion: A conceptual analysis. Information Systems Frontiers, 20(5), 989–1002.",Digital financial services,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Beck, T., Pamuk, H., & Ramrathan, R. (2018). Mobile money, savings, and credit: Evidence from Kenya. Journal of African Economies, 27(1), 84–111.",Digital financial services,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTAINS,CONTRADICTION,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Lyman, T., & Kopenen, T. (2021). Digital financial services and financial inclusion in low‑ and middle‑income countries: A systematic review. Journal of Financial Inclusion, 9(2), 1–22.",Digital financial services,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Romer, P. M. (1990). Endogenous technological change. Journal of Political Economy, 98(5), S71–S102.",Economics,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Solow, R. M. (1956). A contribution to the theory of economic growth. The Quarterly Journal of Economics, 70(1), 65–94.",Economics,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Mankiw, N. G., Romer, D., & Weil, D. N. (1992). A contribution to the empirics of economic growth. The Quarterly Journal of Economics, 107(2), 407–437.",Economics,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Kahneman, D., & Tversky, A. (1979). Prospect theory: An analysis of decision under risk. Econometrica, 47(2), 263–291.",Economics,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Aghion, P., & Howitt, P. (1992). A model of growth through creative destruction. Econometrica, 60(2), 323–351.",Economics,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Blanchard, O., & Kiyotaki, N. (1987). Monopolistic competition and the effects of aggregate demand. American Economic Review, 77(4), 647–666.",Economics,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Stiglitz, J. E., & Weiss, A. (1981). Credit rationing in markets with imperfect information. American Economic Review, 71(3), 393–410.",Economics,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Barro, R. J., & Sala-i-Martin, X. (1992). Convergence. Journal of Political Economy, 100(2), 223–251.",Economics,minimax_m25_230b_a10b,verified,,MATCH,CONTAINS,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867,0.133
World Bank. (2018). World Development Report 2018: Learning to realize education's potential. World Bank.,Economics,minimax_m25_230b_a10b,verified-with-error,,MATCH,MATCH,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600,0.400
"Card, D. (1995). The effect of unions on the structure of wages: A longitudinal analysis of a panel of data (NBER Working Paper No. 5316). National Bureau of Economic Research.",Economics,minimax_m25_230b_a10b,needs-human,,CONTAINS,MATCH,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.667
"World Health Organization. (2003). *The World Health Report 2003: Shaping the future*. Geneva, Switzerland: WHO Press.",Health,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.900,0.100
"Marmot, M. (2005). Social determinants of health inequalities. *The Lancet*, *365*(9464), 1099–1104. https://doi.org/10.1016/S0140-6736(05)71146-6",Health,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Mokdad, A. H., Marks, J. S., Stroup, D. F., & Gerberding, J. L. (2004). Actual causes of death in the United States. *JAMA*, *291*(10), 1238–1245. https://doi.org/10.1001/jama.291.10.1238",Health,minimax_m25_230b_a10b,verified,,CONTAINS,MATCH,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.125
"Bloom, D. E., Canning, D., & Weston, M. (2005). The value of vaccination. *World Economy*, *8*(2), 191–214. https://doi.org/10.1111/j.1748-0418.2005.00010.x",Health,minimax_m25_230b_a10b,unverified,,MATCH,CONTAINS,CONTRADICTION,CONTRADICTION,CONTRADICTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Kruk, M. E., Gage, A. D., Arsenault, C., Jordan, K., Leslie, H. H., Roder‑DeWan, S., … & Pate, M. (2018). High‑quality health systems in the Sustainable Development Goals era: Time for a revolution. *The Lancet Global Health*, *6*(11), e1196–e1252. https://doi.org/10.1016/S2214-109X(18)30357-X",Health,minimax_m25_230b_a10b,verified,,MATCH,CONTAINS,MATCH,MATCH,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.650,0.350
"Wang, H., Torres, L. V., & Travis, P. (2020). Global health expenditures and universal health coverage: A systematic review. *Health Policy*, *123*(11), 1045–1055. https://doi.org/10.1016/j.healthpol.2020.07.003",Health,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Atun, R., de Andrade, L. O., Almeida, G., Cotlear, D., Dmytraczenko, T., Frenz, P., … & Wagstaff, A. (2015). Health system reforms and the role of the private sector. *Health Policy and Planning*, *30*(4), 499–508. https://doi.org/10.1093/heapol/czu053",Health,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
"Murray, C. J., & Lopez, A. D. (1996). Evidence‑based health policy—lessons from the Global Burden of Disease Study. *Science*, *274*(5288), 740–743. https://doi.org/10.1126/science.274.5288.740",Health,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
